acc_x[mg],acc_y[mg],acc_z[mg]
161.65,802.52,554.73
151.65,805.93,557.30
145.79,808.86,559.25
147.74,805.08,560.96
147.86,802.27,561.81
146.03,804.35,561.44
150.43,801.17,557.91
153.84,797.76,553.64
150.79,799.22,548.51
148.23,805.93,545.34
151.77,804.71,542.53
154.70,799.71,541.56
157.99,797.39,544.73
157.99,797.51,550.95
159.82,800.56,553.76
162.75,797.64,554.98
163.85,790.56,552.05
160.43,794.59,549.85
163.36,801.54,553.39
166.65,798.86,549.73
164.46,799.34,547.78
157.26,809.23,552.42
155.67,811.54,550.10
161.53,789.34,543.39
160.80,786.53,535.46
162.87,794.34,543.75
164.21,798.00,555.83
163.48,796.78,554.86
162.99,795.20,551.44
158.23,795.93,547.41
158.48,800.69,548.51
163.72,794.83,550.22
164.46,790.93,549.98
156.77,798.86,549.98
155.92,801.17,552.17
156.77,797.15,553.51
155.18,798.12,552.90
