acc_x[mg],acc_y[mg],acc_z[mg]
484.71,120.78,879.01
485.19,119.44,880.11
486.66,122.49,885.60
485.07,123.71,887.79
481.66,122.12,885.96
478.12,126.27,884.62
473.48,129.93,885.72
467.63,135.18,888.40
467.02,137.01,886.09
469.70,134.20,878.16
469.33,134.93,874.50
473.24,137.98,879.62
478.85,133.47,882.67
481.29,130.91,882.30
478.48,136.40,880.35
483.00,132.25,879.38
482.02,134.57,879.01
479.22,135.54,880.35
478.85,136.40,879.38
477.75,139.20,877.42
474.34,144.33,873.40
476.78,142.01,868.76
478.00,144.94,866.57
481.41,144.45,865.83
484.83,143.84,865.83
487.63,143.59,864.61
487.27,145.30,862.66
488.73,146.89,862.42
486.90,137.98,859.49
486.17,141.40,861.44
487.27,141.89,866.32
486.54,138.35,867.79
485.19,135.54,867.42
485.80,135.54,872.30
484.34,137.25,878.16
485.80,138.10,882.43
483.97,140.30,882.55
484.22,137.25,878.89
480.92,140.91,879.01
480.19,145.06,880.11
478.97,142.74,878.03
478.24,143.47,875.72
482.27,142.50,874.62
482.63,142.37,874.98
482.88,141.64,873.15
484.58,139.81,872.42
484.22,139.81,869.49
483.73,141.15,870.59
483.97,141.89,869.98
486.78,141.03,870.84
487.76,140.79,869.25
488.73,139.08,868.03
491.29,139.57,867.30
490.93,139.93,867.05
