acc_x[mg],acc_y[mg],acc_z[mg]
561.69,-180.68,823.50
560.35,-174.70,828.87
558.52,-175.07,827.28
559.98,-182.39,821.91
564.62,-183.49,822.16
569.62,-188.61,821.06
570.47,-189.34,818.74
571.69,-190.08,820.21
570.84,-188.98,823.01
565.47,-184.95,824.48
561.44,-184.10,828.26
554.86,-180.93,825.33
552.54,-181.78,820.33
554.25,-180.44,823.26
557.17,-183.24,824.48
558.03,-183.73,825.09
562.66,-183.24,829.11
567.30,-188.49,828.87
562.91,-189.10,823.99
561.93,-190.08,819.47
564.25,-191.42,822.04
565.10,-186.54,825.21
563.15,-183.73,825.09
562.91,-188.73,824.35
563.52,-188.12,826.67
566.32,-189.47,829.23
566.69,-185.68,832.28
567.30,-190.81,827.28
566.20,-189.83,824.96
566.20,-189.83,824.48
565.23,-188.73,820.57
561.69,-186.05,818.62
562.54,-185.56,820.69
560.71,-182.39,824.60
560.96,-178.24,825.21
558.76,-182.39,821.91
554.49,-181.41,817.77
556.20,-178.97,817.28
559.49,-181.29,820.82
563.03,-184.83,825.21
563.40,-188.12,818.74
564.49,-188.25,819.60
567.91,-187.76,824.60
564.74,-187.27,822.52
566.57,-189.59,821.91
565.71,-188.61,823.74
567.67,-188.98,826.67
568.40,-186.66,830.33
566.57,-187.27,832.28
561.08,-186.42,828.14
555.34,-183.85,820.45
558.39,-184.71,822.65
564.37,-185.68,828.38
562.42,-186.05,825.21
561.44,-187.39,820.45
561.93,-193.61,817.16
565.47,-194.96,815.33
567.18,-197.52,822.28
569.13,-191.17,833.26
566.93,-190.20,833.99
557.54,-188.98,824.23
557.30,-189.34,825.09
562.66,-188.49,828.50
564.01,-189.59,827.89
567.18,-189.22,825.82
568.52,-190.20,824.96
568.64,-191.54,822.16
565.47,-187.51,819.72
561.08,-183.85,819.60
559.61,-181.78,820.21
556.93,-179.95,821.30
562.54,-177.14,824.35
561.44,-181.66,821.91
558.64,-183.61,812.28
563.15,-183.37,813.86
564.49,-181.41,821.43
566.20,-186.17,823.01
565.23,-190.44,819.72
563.52,-191.54,818.86
565.59,-190.20,824.60
566.93,-189.95,832.41
564.62,-189.83,834.36
562.79,-187.15,834.48
564.37,-184.46,835.33
563.27,-185.56,828.99
560.22,-183.24,821.06
561.44,-186.05,817.64
561.44,-184.71,817.77
563.64,-183.98,819.35
563.52,-183.24,820.21
564.74,-181.17,818.62
567.18,-182.63,820.57
563.52,-184.46,819.84
561.44,-183.24,817.77
564.13,-185.20,820.33
565.23,-179.95,827.53
567.42,-180.19,828.14
561.81,-183.73,823.87
561.32,-185.68,827.53
561.32,-185.68,829.72
564.98,-187.76,831.80
565.35,-186.05,835.21
563.15,-189.71,824.35
563.76,-190.20,824.48
571.33,-191.91,828.26
569.37,-191.17,823.50
567.30,-189.83,818.99
562.79,-187.15,816.79
560.47,-182.02,817.03
559.25,-181.78,820.08
554.25,-180.68,817.64
556.20,-179.71,819.35
556.20,-176.05,820.45
555.71,-178.97,821.91
560.96,-182.51,828.50
563.27,-182.88,833.26
562.18,-180.68,827.77
557.78,-174.83,827.04
563.40,-177.63,831.92
564.74,-180.07,834.48
561.57,-177.75,830.45
560.96,-176.90,826.43
557.66,-177.27,825.82
554.12,-175.68,827.53
553.03,-173.12,827.16
553.39,-173.97,821.06
556.93,-176.41,822.28
565.35,-181.54,825.45
566.08,-182.15,827.40
568.40,-183.98,827.89
565.96,-183.49,826.18
561.57,-182.63,819.72
559.13,-181.90,818.74
563.27,-177.88,824.96
564.74,-182.76,825.45
561.20,-185.32,822.04
562.54,-186.05,824.60
563.40,-187.27,825.45
563.64,-184.95,828.38
568.40,-188.12,832.16
563.64,-187.27,823.99
560.22,-184.71,821.43
563.64,-185.20,824.35
560.47,-184.83,818.13
559.13,-185.81,816.06
564.01,-182.76,824.23
565.35,-180.56,825.21
561.20,-183.73,819.11
558.27,-182.15,820.21
559.49,-180.19,823.01
558.39,-179.10,825.09
562.79,-184.83,829.36
565.96,-184.10,831.06
564.86,-182.02,828.38
565.71,-182.39,826.92
567.79,-185.32,828.01
565.47,-183.49,818.50
567.06,-182.02,818.99
572.06,-183.24,825.21
566.69,-185.07,821.67
564.25,-184.95,821.06
563.27,-185.44,823.38
561.81,-182.76,825.57
559.49,-181.90,822.77
560.10,-183.00,822.40
563.03,-183.00,825.57
561.81,-185.07,821.43
562.30,-182.27,822.65
563.64,-187.15,817.64
559.49,-188.37,812.64
566.93,-187.39,823.50
568.28,-187.76,827.28
564.25,-188.86,820.94
564.37,-188.61,825.57
565.47,-190.56,830.33
566.93,-189.10,830.82
566.08,-189.83,831.31
565.47,-192.27,823.38
562.30,-188.00,818.62
564.25,-185.32,819.72
564.86,-184.59,818.50
562.91,-185.81,816.42
564.37,-182.15,822.28
564.25,-181.90,823.62
561.57,-183.49,821.18
557.91,-178.85,823.62
560.96,-181.05,824.84
562.66,-181.54,829.36
